County,County Name,Unit Type Code,Unit Type Name,Unit Code,Unit Name,Fund,Fund Name,2017 Certified Budget,2017 Certified Levy,2017 Certified Net Assessed Valuation, 2017 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0061,RAINY DAY,"$100,000",$0,"$1,505,618,432", -   
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ,"$11,827,417","$7,192,339","$1,505,618,432", 0.4777 
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT,"$199,400","$129,483","$1,505,618,432", 0.0086 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ,"$70,000","$57,214","$1,505,618,432", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ,"$2,500,004",$0,"$1,505,618,432", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ,"$275,000",$0,"$1,505,618,432", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ,"$611,600","$734,742","$1,505,618,432", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ,"$314,195","$209,281","$1,505,618,432", 0.0139 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ,"$270,000","$451,686","$1,505,618,432", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ,"$136,423","$115,933","$1,505,618,432", 0.0077 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$827,411","$466,742","$1,505,618,432", 0.0310 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0061,RAINY DAY,"$6,060",$0,"$64,705,862", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ,"$22,994","$18,376","$64,705,862", 0.0284 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,678",$0,"$64,705,862", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ,"$11,714","$6,082","$64,705,862", 0.0094 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0101,GENERAL                                 ,"$14,220","$10,484","$67,637,388", 0.0155 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$16,256",$0,"$67,637,388", -   
01,Adams,2,Township,0002,FRENCH TOWNSHIP,1111,FIRE                                    ,"$14,300","$16,571","$67,637,388", 0.0245 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0061,RAINY DAY,"$7,000",$0,"$55,858,239", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0101,GENERAL                                 ,"$30,570","$19,718","$55,858,239", 0.0353 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,625",$0,"$55,858,239", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1111,FIRE                                    ,"$15,000","$12,736","$55,858,239", 0.0228 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1312,RECREATION                              ,"$12,700","$6,647","$55,858,239", 0.0119 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0101,GENERAL                                 ,"$14,640","$13,464","$57,295,071", 0.0235 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,038","$1,547","$57,295,071", 0.0027 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,1111,FIRE                                    ,"$13,540","$10,542","$57,295,071", 0.0184 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0101,GENERAL                                 ,"$28,193","$12,298","$68,706,269", 0.0179 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$25,253","$5,977","$68,706,269", 0.0087 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1111,FIRE                                    ,"$24,339","$17,245","$68,706,269", 0.0251 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$10,000","$19,306","$68,706,269", 0.0281 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0061,RAINY DAY,"$9,000",$0,"$205,350,547", -   
01,Adams,2,Township,0006,MONROE TOWNSHIP,0101,GENERAL                                 ,"$32,600","$16,223","$205,350,547", 0.0079 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$8,566","$1,027","$205,350,547", 0.0005 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1111,FIRE                                    ,"$35,000","$77,378","$131,149,953", 0.0590 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$15,000","$40,788","$131,149,953", 0.0311 
01,Adams,2,Township,0006,MONROE TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ,"$3,000",$0,"$131,149,953", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0061,RAINY DAY,"$25,000",$0,"$65,755,039", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0101,GENERAL                                 ,"$28,050","$17,425","$65,755,039", 0.0265 
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$12,855",$0,"$65,755,039", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,1111,FIRE                                    ,"$40,500","$30,576","$65,755,039", 0.0465 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0101,GENERAL                                 ,"$42,435","$19,281","$275,448,372", 0.0070 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$55,675","$36,084","$275,448,372", 0.0131 
01,Adams,2,Township,0008,ROOT TOWNSHIP,1111,FIRE                                    ,"$40,801","$17,953","$132,985,075", 0.0135 
01,Adams,2,Township,0008,ROOT TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ,"$16,000","$2,394","$132,985,075", 0.0018 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0101,GENERAL                                 ,"$34,887","$26,721","$63,620,283", 0.0420 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$11,900",$0,"$63,620,283", -   
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1111,FIRE                                    ,"$17,128","$14,124","$63,620,283", 0.0222 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1312,RECREATION                              ,"$22,000",$0,"$63,620,283", -   
