County,County Name,Unit Type Code,Unit Type Code Name,Unit,Unit Name,Fund,Fund Name, 2013 Certified Budget , 2013 Certified Levy , 2013 Certified Net Assessed Value , 2013 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ," 8,619,521 "," 6,232,656 "," 1,349,059,812 ", 0.4620 
01,Adams,1,County,0000,ADAMS COUNTY,0123,2006 REASSESSMENT, -   , -   ," 1,349,059,812 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT," 95,250 "," 111,972 "," 1,349,059,812 ", 0.0083 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ," 60,000 "," 51,264 "," 1,349,059,812 ", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ," 2,019,064 ", -   ," 1,349,059,812 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ," 275,000 ", -   ," 1,349,059,812 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ," 611,400 "," 658,341 "," 1,349,059,812 ", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ," 252,574 "," 172,680 "," 1,349,059,812 ", 0.0128 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ," 70,000 "," 404,718 "," 1,349,059,812 ", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ," 116,117 "," 145,698 "," 1,349,059,812 ", 0.0108 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 299,000 "," 435,746 "," 1,349,059,812 ", 0.0323 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0061,RAINY DAY," 3,713 ", -   ," 54,080,067 ", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ," 21,362 "," 16,386 "," 54,080,067 ", 0.0303 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,778 ", -   ," 54,080,067 ", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ," 11,300 "," 5,462 "," 54,080,067 ", 0.0101 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0101,GENERAL                                 ," 13,540 "," 9,382 "," 56,857,899 ", 0.0165 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 16,180 ", -   ," 56,857,899 ", -   
01,Adams,2,Township,0002,FRENCH TOWNSHIP,1111,FIRE                                    ," 12,800 "," 14,783 "," 56,857,899 ", 0.0260 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0061,RAINY DAY," 6,601 ", -   ," 47,904,969 ", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0101,GENERAL                                 ," 29,505 "," 16,575 "," 47,904,969 ", 0.0346 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 9,435 ", -   ," 47,904,969 ", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1111,FIRE                                    ," 13,000 "," 11,353 "," 47,904,969 ", 0.0237 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1312,RECREATION                              ," 12,300 "," 6,994 "," 47,904,969 ", 0.0146 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0101,GENERAL                                 ," 14,115 "," 12,434 "," 47,276,688 ", 0.0263 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 9,180 "," 1,513 "," 47,276,688 ", 0.0032 
